Model,Architecture,Generation,Block,EtaC,LambdaC,BlockDriftNorm
SmolLM_Trt,sequential,1,0,0.0002578125,7757.575757575757,1.1742000579833984
SmolLM_Trt,sequential,1,1,0.00103125,1939.3939393939393,1.06964910030365
SmolLM_Trt,sequential,1,2,0.00032031249999999996,6243.902439024391,1.0165386199951172
SmolLM_Trt,sequential,1,3,7.617187500000001e-05,26256.41025641025,1.0321108102798462
SmolLM_Trt,sequential,1,4,8.056640625e-06,248242.42424242423,1.0397084951400757
SmolLM_Trt,sequential,1,5,0.0005781250000000001,3459.459459459459,1.0903973579406738
SmolLM_Trt,sequential,1,6,0.00103125,1939.3939393939393,1.1198111772537231
SmolLM_Trt,sequential,1,7,0.0011562500000000002,1729.7297297297296,1.1413443088531494
SmolLM_Trt,sequential,1,8,0.000515625,3878.7878787878785,1.152177333831787
SmolLM_Trt,sequential,1,9,4.2724609375e-06,468114.2857142857,1.1212667226791382
SmolLM_Trt,sequential,1,10,1.0009765624999999e-05,199804.87804878052,1.3509594202041626
SmolLM_Trt,sequential,1,11,7.617187500000001e-05,26256.41025641025,1.5122064352035522
SmolLM_Trt,sequential,1,12,0.0003828125,5224.489795918367,1.3370070457458496
SmolLM_Trt,sequential,1,13,0.0063750000000000005,313.7254901960784,1.2473602294921875
SmolLM_Trt,sequential,1,14,0.00109375,1828.5714285714284,1.2570065259933472
SmolLM_Trt,sequential,1,15,0.00028906250000000004,6918.918918918918,1.3478057384490967
SmolLM_Trt,sequential,1,16,0.000703125,2844.4444444444443,1.360128402709961
SmolLM_Trt,sequential,1,17,0.0005781250000000001,3459.459459459459,1.3794289827346802
SmolLM_Trt,sequential,1,18,0.0005781250000000001,3459.459459459459,1.5382856130599976
SmolLM_Trt,sequential,1,19,5.5664062499999995e-05,35929.82456140351,1.7444686889648438
SmolLM_Trt,sequential,1,20,1.0498046875e-05,190511.62790697676,1.7301218509674072
SmolLM_Trt,sequential,1,21,0.00875,228.57142857142856,1.658525824546814
SmolLM_Trt,sequential,1,22,0.00044531249999999996,4491.228070175439,1.6324005126953125
SmolLM_Trt,sequential,1,23,0.0004609375,4338.983050847458,1.5457526445388794
SmolLM_Trt,sequential,1,24,0.000765625,2612.2448979591836,1.5595629215240479
SmolLM_Trt,sequential,1,25,0.00023046875,8677.966101694916,1.4833568334579468
SmolLM_Trt,sequential,1,26,0.0012812499999999998,1560.9756097560978,1.5391631126403809
SmolLM_Trt,sequential,1,27,0.00134375,1488.372093023256,1.6792519092559814
SmolLM_Trt,sequential,1,28,0.00016796875,11906.976744186048,1.6252350807189941
SmolLM_Trt,sequential,1,29,0.0003671875,5446.808510638298,1.6974711418151855
SmolLM_Trt,sequential,2,0,0.00032031249999999996,6243.902439024391,0.9925323724746704
SmolLM_Trt,sequential,2,1,6.2255859375000004e-06,321254.9019607843,0.8047106266021729
SmolLM_Trt,sequential,2,2,0.00012890625,15515.151515151514,0.7409979104995728
SmolLM_Trt,sequential,2,3,13.568000000000001,0.14740566037735847,0.6886347532272339
SmolLM_Trt,sequential,2,4,0.00021484375000000003,9309.090909090908,0.6914917230606079
SmolLM_Trt,sequential,2,5,0.0007968750000000001,2509.803921568627,0.7230992913246155
SmolLM_Trt,sequential,2,6,0.000515625,3878.7878787878785,0.7342684864997864
SmolLM_Trt,sequential,2,7,0.00028906250000000004,6918.918918918918,0.7526772022247314
SmolLM_Trt,sequential,2,8,0.000119140625,16786.885245901638,0.7506662607192993
SmolLM_Trt,sequential,2,9,0.000515625,3878.7878787878785,0.7256460189819336
SmolLM_Trt,sequential,2,10,0.00016796875,11906.976744186048,0.8247279524803162
SmolLM_Trt,sequential,2,11,0.00023828125,8393.442622950819,0.9508928060531616
SmolLM_Trt,sequential,2,12,0.000515625,3878.7878787878785,1.046655297279358
SmolLM_Trt,sequential,2,13,0.006625000000000001,301.88679245283015,1.0232605934143066
SmolLM_Trt,sequential,2,14,0.00019921875000000001,10039.215686274509,1.039146065711975
SmolLM_Trt,sequential,2,15,0.0006093750000000001,3282.0512820512813,1.172292947769165
SmolLM_Trt,sequential,2,16,1.0986328125e-05,182044.44444444444,1.0931113958358765
SmolLM_Trt,sequential,2,17,0.0005781250000000001,3459.459459459459,1.104415774345398
SmolLM_Trt,sequential,2,18,4.78515625e-05,41795.91836734694,1.1660023927688599
SmolLM_Trt,sequential,2,19,0.00041406250000000004,4830.188679245282,1.2523378133773804
SmolLM_Trt,sequential,2,20,0.00153125,1306.1224489795918,1.2358185052871704
SmolLM_Trt,sequential,2,21,0.00146875,1361.7021276595744,1.1621793508529663
SmolLM_Trt,sequential,2,22,0.01125,177.77777777777777,1.1241228580474854
SmolLM_Trt,sequential,2,23,0.0012812499999999998,1560.9756097560978,1.0971728563308716
SmolLM_Trt,sequential,2,24,0.0030625,653.0612244897959,1.0905705690383911
SmolLM_Trt,sequential,2,25,0.00039843750000000003,5019.607843137254,1.0590800046920776
SmolLM_Trt,sequential,2,26,0.00032031249999999996,6243.902439024391,1.1185976266860962
SmolLM_Trt,sequential,2,27,0.00103125,1939.3939393939393,1.1557084321975708
SmolLM_Trt,sequential,2,28,0.000765625,2612.2448979591836,1.119342565536499
SmolLM_Trt,sequential,2,29,0.007375,271.1864406779661,1.0893642902374268
SmolLM_Trt,sequential,3,0,6.469726562500001e-06,309132.0754716981,0.7910509705543518
SmolLM_Trt,sequential,3,1,8.544921875e-06,234057.14285714284,0.5777462720870972
SmolLM_Trt,sequential,3,2,0.0002578125,7757.575757575757,0.48736605048179626
SmolLM_Trt,sequential,3,3,3.6132812500000005e-05,55351.351351351346,0.44373151659965515
SmolLM_Trt,sequential,3,4,0.00024609375,8126.984126984127,0.4487048387527466
SmolLM_Trt,sequential,3,5,0.00153125,1306.1224489795918,0.5301422476768494
SmolLM_Trt,sequential,3,6,0.000765625,2612.2448979591836,0.5439507365226746
SmolLM_Trt,sequential,3,7,0.000546875,3657.142857142857,0.595830500125885
SmolLM_Trt,sequential,3,8,5.7373046875e-06,348595.74468085106,0.6169207096099854
SmolLM_Trt,sequential,3,9,0.000515625,3878.7878787878785,0.5918242335319519
SmolLM_Trt,sequential,3,10,5.95703125e-05,33573.770491803276,0.6993945837020874
SmolLM_Trt,sequential,3,11,0.000546875,3657.142857142857,0.863774836063385
SmolLM_Trt,sequential,3,12,0.006875000000000001,290.9090909090909,0.9629709720611572
