Experiment,Generation,Model_Path,Perplexity,Diversity,Coherence
GPT2 Treatment,0,gpt2,11.0353,0.8333,0.4081
GPT2 Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\gpt2_treatment_gen_1,13.1352,0.6829,0.4023
GPT2 Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\gpt2_treatment_gen_2,15.1153,0.8682,0.4547
GPT2 Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\gpt2_treatment_gen_3,17.9152,0.5319,0.4346
GPT2 Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\gpt2_treatment_gen_4,22.6444,0.3699,0.287
GPT2 Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\gpt2_treatment_gen_5,26.7797,0.4631,0.3744
Gemma Treatment,0,google/gemma-3-1b-it,8.4383,0.971,0.4879
Gemma Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\gemma_treatment_gen_1,10.8885,0.9091,0.4289
Gemma Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\gemma_treatment_gen_2,13.4234,0.9429,0.4704
Gemma Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\gemma_treatment_gen_3,15.5634,0.9854,0.4936
Gemma Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\gemma_treatment_gen_4,16.0128,0.9209,0.5698
Gemma Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\gemma_treatment_gen_5,17.1657,0.9574,0.3929
Llama Treatment,0,meta-llama/Llama-3.2-1B,5.5018,0.932,0.494
Llama Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\llama_treatment_gen_1,5.7913,0.865,0.5219
Llama Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\llama_treatment_gen_2,7.4574,0.8733,0.3877
Llama Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\llama_treatment_gen_3,9.5552,0.56,0.3806
Llama Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\llama_treatment_gen_4,11.9919,0.5556,0.4082
Llama Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\llama_treatment_gen_5,13.7846,0.7935,0.4634
Phi-1.5 Treatment,0,microsoft/phi-1_5,3.9666,0.953,0.4397
Phi-1.5 Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\phi-1_5_treatment_gen_1,5.7065,0.964,0.4556
Phi-1.5 Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\phi-1_5_treatment_gen_2,9.7095,0.9669,0.4357
Phi-1.5 Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\phi-1_5_treatment_gen_3,16.7922,0.9796,0.4265
Phi-1.5 Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\phi-1_5_treatment_gen_4,24.6745,0.9853,0.301
Phi-1.5 Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\phi-1_5_treatment_gen_5,27.7088,0.9909,0.1977
Pythia Treatment,0,EleutherAI/pythia-1.4b,5.7899,0.9172,0.3974
Pythia Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\pythia-1.4b_treatment_gen_1,6.6935,0.9487,0.5213
Pythia Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\pythia-1.4b_treatment_gen_2,11.0365,0.9801,0.4061
Pythia Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\pythia-1.4b_treatment_gen_3,21.5048,0.9658,0.3467
Pythia Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\pythia-1.4b_treatment_gen_4,43.5926,0.9786,0.2043
Pythia Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\pythia-1.4b_treatment_gen_5,88.3781,0.9669,0.3129
Qwen 2.5 Control C,0,Qwen/Qwen2.5-0.5B,5.4055,0.9359,0.4237
Qwen 2.5 Control C,1,D:\Thaman\Work\hessian-spectral-analysis\models\control_c_gen_1,6.2422,0.7244,0.4008
Qwen 2.5 Control C,2,D:\Thaman\Work\hessian-spectral-analysis\models\control_c_gen_2,7.9985,0.7365,0.537
Qwen 2.5 Control C,3,D:\Thaman\Work\hessian-spectral-analysis\models\control_c_gen_3,10.3802,0.6184,0.6286
Qwen 2.5 Control C,4,D:\Thaman\Work\hessian-spectral-analysis\models\control_c_gen_4,13.0293,0.7667,0.4745
Qwen 2.5 Control C,5,D:\Thaman\Work\hessian-spectral-analysis\models\control_c_gen_5,17.5449,0.461,0.4629
Qwen 3.5 Treatment,0,Qwen/Qwen3.5-0.8B,5.6559,0.5397,0.4802
Qwen 3.5 Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\Qwen3.5-0.8B_treatment_gen_1,6.3381,0.6483,0.4455
Qwen 3.5 Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\Qwen3.5-0.8B_treatment_gen_2,7.2985,0.3034,0.4236
Qwen 3.5 Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\Qwen3.5-0.8B_treatment_gen_3,8.4624,0.4928,0.1294
Qwen 3.5 Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\Qwen3.5-0.8B_treatment_gen_4,9.8182,0.5,0.2912
Qwen 3.5 Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\Qwen3.5-0.8B_treatment_gen_5,11.5266,0.3125,0.2095
SmolLM Control A,0,HuggingFaceTB/SmolLM2-135M,6.0504,0.9265,0.4265
SmolLM Control A,1,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_1,4.6936,0.9091,0.439
SmolLM Control A,2,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_2,4.7228,0.8732,0.3771
SmolLM Control A,3,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_3,4.7142,0.9281,0.5388
SmolLM Control A,4,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_4,4.6782,0.8766,0.3979
SmolLM Control A,5,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_5,4.6781,0.7015,0.3706
